Time,CPU,Memory
08-12-2021 12:34:04,27.6,42.4
08-12-2021 12:34:09,22.8,42.7
08-12-2021 12:34:14,13.5,42.9
08-12-2021 12:34:19,9.2,42.7
08-12-2021 12:34:24,8.7,42.7
08-12-2021 12:34:29,8.6,42.8
08-12-2021 12:34:34,11.2,42.8
08-12-2021 12:34:39,9.1,42.8
08-12-2021 12:34:44,9.1,42.8
08-12-2021 12:34:49,13.2,42.8
